,yield,y_classider,y_regression
2015-12-12 06:00:00,0.0,0.0,0.0
2014-08-04 12:00:00,0.0,0.0,0.0
2014-07-20 00:00:00,0.0,0.0,0.0
2015-01-17 00:00:00,8.166109253,1.0,7.1551003348
2014-02-02 08:00:00,4.473244147,1.0,7.4491360091
2015-08-04 04:00:00,0.0,0.0,0.0
2014-04-10 18:00:00,0.0,0.0,0.0
2015-03-31 14:00:00,0.0,0.0,0.0
2015-08-21 18:00:00,0.0,0.0,0.0
2014-05-18 22:00:00,0.0,0.0,0.1379598662
2015-08-19 20:00:00,0.0,0.0,0.0
2015-10-04 16:00:00,0.0,0.0,0.0
2014-10-03 10:00:00,0.0,0.0,0.0
2015-03-07 02:00:00,0.0,0.0,0.0
2014-05-18 10:00:00,0.0,0.0,0.0
2015-03-29 20:00:00,0.0,0.0,0.0
2015-11-06 06:00:00,0.0,0.0,0.0
2015-11-03 00:00:00,5.706521739,1.0,6.9620958756
2014-05-21 20:00:00,0.1393534,0.0,0.1909141584
2014-06-10 12:00:00,0.529542921,0.0,0.011148272
2014-08-29 16:00:00,0.0,0.0,0.0
2014-06-22 16:00:00,0.0,0.0,0.0
2015-03-14 06:00:00,9.476031215,1.0,3.2936176144
2014-03-18 02:00:00,0.0,0.0,0.0
2014-10-15 06:00:00,1.839464883,1.0,3.3291527315
2014-08-27 18:00:00,0.0,0.0,0.0
2014-08-22 04:00:00,0.0,0.0,0.0
2014-07-30 02:00:00,0.0,0.0,0.0
2015-01-06 20:00:00,0.0,0.0,0.0
2015-01-28 18:00:00,1.714046823,0.0,0.5518394647
2013-12-27 08:00:00,0.0,0.0,0.0
2014-06-07 12:00:00,0.0,0.0,0.0
2013-12-12 14:00:00,0.0,0.0,0.0
2015-08-18 02:00:00,6.911928651,1.0,11.0179765895
2015-03-26 10:00:00,0.00696767,0.0,0.0
2014-09-15 18:00:00,0.0,0.0,0.0
2014-07-06 12:00:00,0.0,0.0,0.0
2014-06-07 22:00:00,0.0,0.0,0.0
2014-02-16 16:00:00,12.18645485,1.0,10.733695652
2015-11-28 12:00:00,0.0,0.0,0.0
2014-01-08 00:00:00,0.0,0.0,0.0
2014-08-22 00:00:00,0.0,0.0,0.0
2014-02-25 18:00:00,0.0,0.0,0.1351727983
2013-12-21 08:00:00,0.0,0.0,0.0
2015-11-24 06:00:00,0.0,0.0,0.0
2014-04-07 12:00:00,0.0,0.0,0.0
2014-07-15 06:00:00,0.0,0.0,0.0
2014-09-17 14:00:00,0.0,0.0,0.0
2015-12-08 12:00:00,0.0,0.0,0.0
2014-06-07 16:00:00,0.0,0.0,0.0
2015-09-27 00:00:00,0.0,0.0,0.0
2014-07-15 16:00:00,0.0,0.0,0.0
2014-12-21 06:00:00,0.0,0.0,0.0
